id,firstname,lastname,birthdate,address,phone,email
16,John,Smith,2019-01-01,123 Main Street,123-456-7890,john@example.com
17,Jane,Doe,2019-01-01,456 Maple Avenue,234-567-8901,jane@example.com
18,Bob,Johnson,2019-01-01,789 Oak Lane,345-678-9012,bob@example.com
19,Alice,Williams,2019-01-01,123 Elm Street,456-789-0123,alice@example.com
20,George,Brown,2019-01-01,456 Pine Avenue,567-890-1234,george@example.com
21,Samantha,Davis,2019-01-01,789 Cedar Lane,678-901-2345,samantha@example.com
22,Mario,Garcia,2019-01-01,123 Birch Street,789-012-3456,mario@example.com
23,John,Smith,2019-01-01,123 Main Street,123-456-7890,john@example.com
24,Jane,Doe,2019-01-01,456 Maple Avenue,234-567-8901,jane@example.com
25,Bob,Johnson,2019-01-01,789 Oak Lane,345-678-9012,bob@example.com
26,Alice,Williams,2019-01-01,123 Elm Street,456-789-0123,alice@example.com
27,George,Brown,2019-01-01,456 Pine Avenue,567-890-1234,george@example.com
28,Samantha,Davis,2019-01-01,789 Cedar Lane,678-901-2345,samantha@example.com
29,Mario,Garcia,2019-01-01,123 Birch Street,789-012-3456,mario@example.com
